,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TCN1,1093.87689278843,3.64531613922309,0.684530166232841,5.3252819510998,1.00796565586144e-07,8.28060231729761e-07
TDO2,274.622194437342,2.30142782067717,0.36668089448428,6.27637778596026,3.46551550233638e-10,4.63024832502885e-09
TDRG1,7.01207158913375,2.03211865091473,0.720962285715253,2.81861990727948,0.00482305930127506,0.0122935490389651
TDRKH-AS1,33.2856915524139,2.17716975324504,0.302638734092382,7.19395605382239,6.29404614797006e-13,1.37379780130422e-11
TEAD1,3020.05293402685,-2.02728047554919,0.195205582632814,-10.3853611572296,2.89073151846688e-25,6.68421440072164e-23
TEDC2,480.468839424679,2.67089034417697,0.221331413068961,12.0673803467057,1.57054626885074e-33,1.4526244198312e-30
TENM2,833.088052219683,2.92571622316789,0.744613903587103,3.92917216435731,8.52387979965598e-05,0.00035795135034575
TENT5B,569.096323705327,-3.14099199071621,0.434596872106157,-7.22736906847544,4.9244051831923e-13,1.09421367624127e-11
TERT,130.236198950684,3.36323619729128,0.454705569195334,7.39651419542321,1.39805865657012e-13,3.42918298989432e-12
TESMIN,283.08530505681,2.04819355431339,0.313984616811601,6.52322898845187,6.88096869282016e-11,1.06145756110648e-09
TEX19,4.20248651293932,3.45594313120935,0.67230849444905,5.14041271193734,2.74135654797265e-07,2.04822055374947e-06
TEX26-AS1,5.37358759812778,-2.54750555238486,0.467257674620488,-5.45203576260995,4.97964382202981e-08,4.34505241986705e-07
TEX45,125.945822814606,2.1905196315849,0.477383899803508,4.58859134647508,4.4624703098358e-06,2.57026247892411e-05
TEX55,2.22377307186731,2.58286273233852,0.77587000639177,3.32898902014562,0.000871618404854962,0.00278511376867287
TFF2,171.258998426247,3.52929495908628,0.739002393830919,4.77575578719136,1.79033559306451e-06,1.12328630567682e-05
TFR2,251.913769351397,2.45581354186751,0.339497348783635,7.23367516908834,4.70095415316241e-13,1.04770863746887e-11
TGFB1I1,1870.0190897008,-2.3283457658519,0.288299439769671,-8.07613697658262,6.68507850594381e-16,2.38961952777682e-14
TGFBR3,2287.78008467731,-2.19607706337996,0.317541778020613,-6.91586813259387,4.65006804460456e-12,8.80735584079625e-11
TGM1,584.100555514474,3.55119756304476,0.505138911064031,7.03014059155425,2.06325533816575e-12,4.11871780544994e-11
TGM5,72.4980081191935,-2.47861769267083,0.541298591907613,-4.57902113496329,4.67156998469961e-06,2.67888169776187e-05
TH,503.251532008097,2.24375479614035,0.629557912573278,3.56401651274487,0.00036522296392569,0.00129157549039708
